Entity,Code,Day,total_vaccinations_per_hundred,"GDP per capita, PPP (constant 2011 international $)",Year,Year,Continent
Africa,,2022-04-12,34.48,,,,
Africa,,2022-04-13,34.48,,,,
Africa,,2022-04-14,34.49,,,,
Africa,,2022-04-15,34.5,,,,
Africa,,2022-04-16,34.5,,,,
Africa,,2022-04-17,34.5,,,,
Africa,,2022-04-18,34.51,,,,
Africa,,2022-04-19,34.51,,,,
Africa,,2022-04-20,34.51,,,,
Africa,,2022-04-21,34.52,,,,
Africa,,2022-04-22,34.53,,,,
Africa,,2022-04-23,34.53,,,,
Akrotiri and Dhekelia,OWID_AKD,2020-01-21,,,,2015,Asia
Albania,ALB,2021-01-10,0,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-12,0,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-13,0.01,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-14,0.01,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-15,0.01,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-16,0.01,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-17,0.01,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-18,0.02,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-19,0.02,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-20,0.02,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-01-21,0.02,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-02,0.02,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-09,0.04,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-17,0.06,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-18,0.11,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-19,0.15,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-22,0.23,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-02-25,0.35,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-01,0.5,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-03,0.55,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-10,0.75,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-12,0.82,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-17,1.16,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-22,1.68,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-23,1.8,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-24,1.88,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-25,2.07,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-26,2.17,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-27,2.23,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-28,2.71,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-30,4.15,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-03-31,4.83,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-01,5.41,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-02,6,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-03,6.46,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-04,6.71,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-05,7.2,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-06,7.71,11803.4305936025,2017,2015,Europe
Albania,ALB,2021-04-07,8.09,11803.4305936025,2017,2015,Europe
